"","Lon_Min","Lat_Min","Lon_Max","Lat_Max"
"1",-74.7737,39.6569,-74.4737,39.9569
"2",-74.4737,39.6569,-74.1737,39.9569
"3",-74.1737,39.6569,-73.8737,39.9569
"4",-73.8737,39.6569,-73.5737,39.9569
"5",-73.5737,39.6569,-73.2737,39.9569
"6",-73.2737,39.6569,-72.9737,39.9569
"7",-72.9737,39.6569,-72.6737,39.9569
"8",-72.6737,39.6569,-72.3737,39.9569
"9",-72.3737,39.6569,-72.0737,39.9569
"10",-72.0737,39.6569,-71.7737,39.9569
"11",-74.7737,39.9569,-74.4737,40.2569
"12",-74.4737,39.9569,-74.1737,40.2569
"13",-74.1737,39.9569,-73.8737,40.2569
"14",-73.8737,39.9569,-73.5737,40.2569
"15",-73.5737,39.9569,-73.2737,40.2569
"16",-73.2737,39.9569,-72.9737,40.2569
"17",-72.9737,39.9569,-72.6737,40.2569
"18",-72.6737,39.9569,-72.3737,40.2569
"19",-72.3737,39.9569,-72.0737,40.2569
"20",-72.0737,39.9569,-71.7737,40.2569
"21",-74.7737,40.2569,-74.4737,40.5569
"22",-74.4737,40.2569,-74.1737,40.5569
"23",-74.1737,40.2569,-73.8737,40.5569
"24",-73.8737,40.2569,-73.5737,40.5569
"25",-73.5737,40.2569,-73.2737,40.5569
"26",-73.2737,40.2569,-72.9737,40.5569
"27",-72.9737,40.2569,-72.6737,40.5569
"28",-72.6737,40.2569,-72.3737,40.5569
"29",-72.3737,40.2569,-72.0737,40.5569
"30",-72.0737,40.2569,-71.7737,40.5569
"31",-74.7737,40.5569,-74.4737,40.8569
"32",-74.4737,40.5569,-74.1737,40.8569
"33",-74.1737,40.5569,-73.8737,40.8569
"34",-73.8737,40.5569,-73.5737,40.8569
"35",-73.5737,40.5569,-73.2737,40.8569
"36",-73.2737,40.5569,-72.9737,40.8569
"37",-72.9737,40.5569,-72.6737,40.8569
"38",-72.6737,40.5569,-72.3737,40.8569
"39",-72.3737,40.5569,-72.0737,40.8569
"40",-72.0737,40.5569,-71.7737,40.8569
"41",-74.7737,40.8569,-74.4737,41.1569
"42",-74.4737,40.8569,-74.1737,41.1569
"43",-74.1737,40.8569,-73.8737,41.1569
"44",-73.8737,40.8569,-73.5737,41.1569
"45",-73.5737,40.8569,-73.2737,41.1569
"46",-73.2737,40.8569,-72.9737,41.1569
"47",-72.9737,40.8569,-72.6737,41.1569
"48",-72.6737,40.8569,-72.3737,41.1569
"49",-72.3737,40.8569,-72.0737,41.1569
"50",-72.0737,40.8569,-71.7737,41.1569
"51",-74.7737,41.1569,-74.4737,41.4569
"52",-74.4737,41.1569,-74.1737,41.4569
"53",-74.1737,41.1569,-73.8737,41.4569
"54",-73.8737,41.1569,-73.5737,41.4569
"55",-73.5737,41.1569,-73.2737,41.4569
"56",-73.2737,41.1569,-72.9737,41.4569
"57",-72.9737,41.1569,-72.6737,41.4569
"58",-72.6737,41.1569,-72.3737,41.4569
"59",-72.3737,41.1569,-72.0737,41.4569
"60",-72.0737,41.1569,-71.7737,41.4569
