"","Lon_Min","Lat_Min","Lon_Max","Lat_Max"
"1",-74.826,39.7214,-74.526,40.0214
"2",-74.526,39.7214,-74.226,40.0214
"3",-74.226,39.7214,-73.926,40.0214
"4",-73.926,39.7214,-73.626,40.0214
"5",-73.626,39.7214,-73.326,40.0214
"6",-73.326,39.7214,-73.026,40.0214
"7",-73.026,39.7214,-72.726,40.0214
"8",-72.726,39.7214,-72.426,40.0214
"9",-72.426,39.7214,-72.126,40.0214
"10",-72.126,39.7214,-71.826,40.0214
"11",-74.826,40.0214,-74.526,40.3214
"12",-74.526,40.0214,-74.226,40.3214
"13",-74.226,40.0214,-73.926,40.3214
"14",-73.926,40.0214,-73.626,40.3214
"15",-73.626,40.0214,-73.326,40.3214
"16",-73.326,40.0214,-73.026,40.3214
"17",-73.026,40.0214,-72.726,40.3214
"18",-72.726,40.0214,-72.426,40.3214
"19",-72.426,40.0214,-72.126,40.3214
"20",-72.126,40.0214,-71.826,40.3214
"21",-74.826,40.3214,-74.526,40.6214
"22",-74.526,40.3214,-74.226,40.6214
"23",-74.226,40.3214,-73.926,40.6214
"24",-73.926,40.3214,-73.626,40.6214
"25",-73.626,40.3214,-73.326,40.6214
"26",-73.326,40.3214,-73.026,40.6214
"27",-73.026,40.3214,-72.726,40.6214
"28",-72.726,40.3214,-72.426,40.6214
"29",-72.426,40.3214,-72.126,40.6214
"30",-72.126,40.3214,-71.826,40.6214
"31",-74.826,40.6214,-74.526,40.9214
"32",-74.526,40.6214,-74.226,40.9214
"33",-74.226,40.6214,-73.926,40.9214
"34",-73.926,40.6214,-73.626,40.9214
"35",-73.626,40.6214,-73.326,40.9214
"36",-73.326,40.6214,-73.026,40.9214
"37",-73.026,40.6214,-72.726,40.9214
"38",-72.726,40.6214,-72.426,40.9214
"39",-72.426,40.6214,-72.126,40.9214
"40",-72.126,40.6214,-71.826,40.9214
"41",-74.826,40.9214,-74.526,41.2214
"42",-74.526,40.9214,-74.226,41.2214
"43",-74.226,40.9214,-73.926,41.2214
"44",-73.926,40.9214,-73.626,41.2214
"45",-73.626,40.9214,-73.326,41.2214
"46",-73.326,40.9214,-73.026,41.2214
"47",-73.026,40.9214,-72.726,41.2214
"48",-72.726,40.9214,-72.426,41.2214
"49",-72.426,40.9214,-72.126,41.2214
"50",-72.126,40.9214,-71.826,41.2214
"51",-74.826,41.2214,-74.526,41.5214
"52",-74.526,41.2214,-74.226,41.5214
"53",-74.226,41.2214,-73.926,41.5214
"54",-73.926,41.2214,-73.626,41.5214
"55",-73.626,41.2214,-73.326,41.5214
"56",-73.326,41.2214,-73.026,41.5214
"57",-73.026,41.2214,-72.726,41.5214
"58",-72.726,41.2214,-72.426,41.5214
"59",-72.426,41.2214,-72.126,41.5214
"60",-72.126,41.2214,-71.826,41.5214
