HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude
140,Millstone Brook Rd,Southold,NY,United States,11968-2243,Suffolk,40.9214,-72.426
0,Burnt Bridge Rd,New Egypt,NJ,United States,08533-1826,Burlington,40.0214,-74.526
42,Cathyann Ct,Preakness,NJ,United States,07470-3073,Essex,40.9214,-74.226
4,Settlers Rd,Stockholm,NJ,United States,07461-4511,Sussex,41.2214,-74.526
968,Old Post Rd,Greenwich,NY,United States,10506-1216,Westchester,41.2214,-73.626
59,Riverwood Dr,Lakewood,NJ,United States,08755-1221,Ocean,40.0214,-74.226
5112,Ave M,Brooklyn,NY,United States,11234-3826,Kings,40.6214,-73.926
156,Plainsboro Rd,Hightstown,NJ,United States,08512-2604,Middlesex,40.3214,-74.526
37,W Lake Shore Dr,Stockholm,NJ,United States,07866-1024,Morris,40.9214,-74.526
42,Cathyann Ct,Preakness,NJ,United States,07470-3073,Essex,40.9214,-74.226
0,Henry Hudson Dr,Alpine,NJ,United States,07670-1142,Bronx,40.9214,-73.926
25,Old Redding Rd,Crab Meadow,CT,United States,06883-2608,Fairfield,41.2214,-73.326
2,Oceanside Ct,Crab Meadow,NY,United States,11768-1301,Suffolk,40.9214,-73.326
59,Riverwood Dr,Lakewood,NJ,United States,08755-1221,Ocean,40.0214,-74.226
0,Goshen Rd,Elm,NJ,United States,08089-1934,Camden,39.7214,-74.826
0,,Tremley,NJ,United States,07036-3564,Richmond,40.6214,-74.226
5112,Ave M,Brooklyn,NY,United States,11234-3826,Kings,40.6214,-73.926
429,Loyal Ledge Ln,Branford,CT,United States,06437-3134,New Haven,41.2214,-72.726
0,Henry Hudson Dr,Alpine,NJ,United States,07670-1142,Bronx,40.9214,-73.926
1250,Long Meadow Rd,Maybrook,NY,United States,10987-3500,Rockland,41.2214,-74.226
2,Oceanside Ct,Crab Meadow,NY,United States,11768-1301,Suffolk,40.9214,-73.326
43,Nantrin Ter,Orange,CT,United States,06460-6741,New Haven,41.2214,-73.026
0,,Amagansett,NY,United States,11937-8438,Suffolk,40.9214,-72.126
0,,Fire Island Pines,NY,United States,11782-9994,Suffolk,40.6214,-73.026
3795,Mahlon Brower Dr,Oceanside,NY,United States,11572-5950,Nassau,40.6214,-73.626
55,Stevenson Dr,Jerseyville,NJ,United States,07746-2720,Monmouth,40.3214,-74.226
38,Old Mountain Rd,Lebanon,NJ,United States,08833-4200,Hunterdon,40.6214,-74.826
99,Aleisha Ln,Mount Sinai,NY,United States,11776-2104,Suffolk,40.9214,-73.026
0,,Chatsworth,NJ,United States,08019-2006,Burlington,39.7214,-74.526
0,Flying Point Rd,Sagaponack,NY,United States,11976-3515,Suffolk,40.6214,-72.126
3795,Mahlon Brower Dr,Oceanside,NY,United States,11572-5950,Nassau,40.6214,-73.626
99,Aleisha Ln,Mount Sinai,NY,United States,11776-2104,Suffolk,40.9214,-73.026
0,Rd C,Southampton,NY,United States,11968-4511,Suffolk,40.3214,-72.126
0,,Fire Island Pines,NY,United States,11782-9994,Suffolk,40.6214,-73.026
0,,Eastport,NY,United States,11933-1314,Suffolk,40.9214,-72.726
0,Ocean State Pkwy,Oak Island,NY,United States,11702-4626,Suffolk,40.6214,-73.326
0,Flying Point Rd,Sagaponack,NY,United States,11976-3515,Suffolk,40.6214,-72.126
0,,Eastport,NY,United States,11933-1314,Suffolk,40.9214,-72.726
