Latitude,Longitude,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
39.6569,-74.7737,39.65799,-74.775909,1,nearest_street,367,Middle Rd,Hammonton,NJ,Atlantic County,8037,US,TIGER/Line® dataset from the US Census Bureau
39.6569,-74.4737,39.6569,-74.4737,0.22,nearest_place,,,Leektown,NJ,Burlington County,8215,US,TIGER/Line® dataset from the US Census Bureau
39.6569,-74.1737,39.65689,-74.173757,1,rooftop,253,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-73.8737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-73.5737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-73.2737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-72.9737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-72.6737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-72.3737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.6569,-72.0737,0,0,0,,,N 1st St,Beach Haven,NJ,Ocean County,8008,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-74.7737,39.957463,-74.773483,1,rooftop,5,Fox Run Rd,Lumberton,NJ,Burlington County,8048,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-74.4737,39.9569,-74.4737,0.26,nearest_place,,,Whitesbog,NJ,Ocean County,8015,US,TIGER/Line® dataset from the US Census Bureau
39.9569,-74.1737,39.957029,-74.173687,1,rooftop,637,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-73.8737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-73.5737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-73.2737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-72.9737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-72.6737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-72.3737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
39.9569,-72.0737,0,0,0,,,Batchelor St,Toms River,NJ,Ocean County,8753,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
